Official Symbol Interactor A,Official Symbol Interactor B
KIF21A,FIP1L1
CDCA5,FIP1L1
CEP170P1,FIP1L1
PIK3CA,TSPAN14
MYH11,ARPC5L
IQGAP1,ARPC5L
YWHAH,EPPK1
HNRNPD,OBSCN
HSF2,OBSCN
PCNA,OBSCN
RPA1,OBSCN
KIAA1107,OBSCN
C10orf12,OBSCN
VPS18,OBSCN
CDCA5,OBSCN
ERBB2,POLR1B
CDK4,TMEM126A
IQGAP1,LZTS2
PDGFRA,MAK16
PIK3CA,DPY30
BCOR,KDM2B
IQGAP1,PPP1R9B
BCOR,PCGF1
IQGAP1,SSH2
PDGFRA,PHLDB2
ERBB2,ZNF622
IQGAP1,NEXN
IQGAP1,SPECC1
MYH11,TBC1D31
TRRAP,TADA2B
TRRAP,CCDC101
HUWE1,AHNAK2
BCOR,CCDC124
TRRAP,TADA1
MATR3,NLRP5
NLRP2,NLRP5
NLRP3,NLRP5
IQGAP1,MISP
IQGAP1,MYL6B
TRRAP,KRT72
MLH1,NANP
IQGAP1,PTGR2
MYH11,UBXN2A
IQGAP1,PPP1R18
MYH13,ZFC3H1
MYH11,PLBD2
YEATS4,JAZF1
TRRAP,JAZF1
CDK4,ASPM
KDR,GATC
IQGAP1,TPRN
MYH11,TMEM189
MAD2L1,FLG2
IQGAP1,MYO18A
MYH13,C1orf226
YEATS4,KPRP
IQGAP1,MROH6
MSH6,BRINP1
TRRAP,BRINP1
Cbx1,ATRX
Chaf1a,ATRX
Srp72,ATRX
Mad2l2,ATRX
Cul4a,ATRX
Actb,DST
Mapre1,DST
Flot1,DST
Myh9,DST
Myo1c,DST
Prkcz,DST
Tpm1,DST
Coro1c,DST
Ppp6c,DST
Calml3,DST
Cep152,DST
Tecpr2,DST
Vps4b,BRAF
Bub1b,CDC27
Nek2,CDC27
Rab5b,CDC27
Cdc23,CDC27
Anapc16,CDC27
Anapc5,CDC27
Cdc26,CDC27
Anapc13,CDC27
Cdc16,CDC27
Anapc2,CDC27
Cdc20,CDC27
Smn1,CDKN2A
Set,CDKN2A
Cdc26,CDKN2A
2310003H01Rik,CDKN2A
Naa11,CDKN2A
Pafah1b1,CENPF
Trp53bp1,CENPF
Spast,CENPF
Pdlim5,CENPF
Sgol2,CENPF
Anapc2,CENPF
Kif19a,CENPF
Psmb5,DMD
Osgep,DMD
Dlgap4,DMD
Bmpr1a,EGFR
Tor1aip1,ERBB2
Tubg1,FASN
Bag2,FASN
Pkm,FGG
Eif3i,MSH6
Calml3,HIP1
Haus1,LTF
Phospho1,MDM2
Cbx1,MKI67
Ccp110,MKI67
Kif20b,MKI67
Mad2l1,MLH1
Aff1,MLLT3
Mllt1,MLLT3
Dennd6a,FURIN
Bub1,PIK3CA
Pard6b,PRKCZ
Eif3a,RPL5
Eif3e,RPL5
Osgep,RPL5
Rpl35,RPL5
Rrbp1,RPL5
Ruvbl2,TRRAP
Ruvbl1,TRRAP
Myh10,TRRAP
Myh3,MYH13
Smc3,IQGAP1
Tpm1,IQGAP1
Lima1,IQGAP1
Calml3,IQGAP1
Cobll1,IQGAP1
M6pr,BCAR1
Dctn3,BCAR1
Cbx1,MDC1
Cul4a,MDC1
Papss1,KMT2B
Cep135,KMT2B
Uso1,TNK2
Sec24c,TNK2
Zbtb48,ABCC4
Srp72,SEMA3C
Rrbp1,SEMA3C
Smc3,STAG2
Rad21,STAG2
Smc1a,STAG2
Cdca5,STAG2
Coro1c,FRS2
Ubr5,SLC27A2
Tnpo1,SLC27A2
Eif3a,PSIP1
Eif3e,PSIP1
Rrbp1,PSIP1
Ring1,BCOR
Cbx7,BCOR
Gsk3b,BCOR
Mllt1,BCOR
Sgol2,BCOR
Pcgf1,BCOR
Cep152,BCOR
Gspt1,TBL1XR1
Jup,TBL1XR1
Tmod3,TBL1XR1
Setd5,TBL1XR1
Bag2,TBL1XR1
Kif19a,TBL1XR1
Anapc5,FIP1L1
Myh9,EPPK1
Pcna,EPPK1
Zbtb2,EPPK1
Smc3,OBSCN
Vps28,OBSCN
Chmp4b,OBSCN
Actr1b,OBSCN
Setd2,OBSCN
Anxa2,AHNAK2
Shoc2,AHNAK2
Cul4a,AHNAK2
Ruvbl1,JAZF1
Kif4,KIF4B
Ddb1,FLG2
Ckap5,FLG2
Rhoa,KPRP
ZBTB7A,TP53
ETS1,TP53
SNCA,PARK2
TP53,RNF125
RNF125,TP53
RNF125,TP53
ANAPC4,CDC27
CDC20,CDC27
CCNB1,CDC27
TP53,CREBBP
E7,RB1
E7,RB1
CREBBP,TP53
AKT1,MDM2
AKT1,BRAF
APOA1,FGA
APPL1,PIK3CA
ARAF,BRAF
BID,FAS
BTC,ERBB2
CASP3,MDM2
CASP3,MLH1
CDC42,MAPK9
CDK2,CDK6
CDK2,TP53
CDK4,CDKN1B
CDK4,CCND1
CDK4,SMAD3
CDK6,RUNX1
CDK6,CTNNB1
CDK6,CDKN1B
CDK6,AR
CDKN1A,MDM2
CRK,PIK3R1
CRK,FGFR1
CRK,PDGFRA
CRKL,PDGFRA
DUSP4,MAPK9
EGFR,CTNNA1
EGFR,STAT3
EGFR,ERBB2
EGFR,EGF
EGFR,PIK3R3
EGFR,FOS
EGFR,PLCG2
EGFR,HSPA1B
EGFR,PIK3R1
EGFR,CDH1
ERBB3,ERBB2
FADD,FAS
FAS,DAXX
FAS,FASLG
FAS,MAPK8
FAS,RAP1A
FAS,RHOA
FAS,CTNNB1
FAS,PRKCA
FASLG,PIK3R1
FASLG,FN1
FGA,F2
FGF1,FGFR1
FGFR1,CTNNB1
FGFR1,CDH1
FGFR1,FGF8
FGFR1,SOS1
FGFR1,CREBBP
FGFR1,PIK3R1
FGFR1,PLCG1
FGFR2,FGF23
GRAP2,ERBB2
HGF,FN1
HIP1,CLTC
HSPA1L,TP53
HSPB1,TP53
ICAM1,FGG
IGF1R,PIK3R1
IGF1R,MDM2
IL10,A2M
IL1B,A2M
JUP,ERBB2
KIT,PIK3CG
KIT,BCR
KIT,CSF2RA
KIT,PIK3R1
KIT,PLCG1
KLK3,A2M
KLK3,FN1
MAP3K5,FAS
MAPK3,BRAF
MAPKAPK5,MAPK9
MMP2,A2M
MSH2,MSH6
MSH2,MLH1
OSMR,ERBB2
PARK2,GRIN2B
PARK2,DLG1
PDGFA,PDGFRA
PDGFRA,PIK3R1
PDGFRA,PLCG1
PDGFRA,STAT3
PDGFRB,PTEN
PIAS2,CDKN2B
PIK3R1,PLCG2
PIK3R1,SOS1
PIK3R1,HRAS
PIK3R1,CTNNB1
PIK3R1,CSF1R
PIK3R1,SRC
PIK3R1,PIK3CB
PLCG2,ERBB2
PRKCZ,GRM5
PRKCZ,AKT3
PRKCZ,F11R
PRKCZ,GSK3B
PTK2,ERBB2
PTK2,TP53
PTK2B,ERBB2
PXN,PIK3R1
STAT1,KIT
STAT1,PDGFRA
STAT1,ERBB2
STK36,GLI1
SUFU,GLI1
TGFA,ERBB2
TP53,HDAC1
TP53,SMAD2
TP53,PML
TP53,MDM2
TP53,FOXO3
TP53,PIAS1
TP53,DAXX
TP53,LAMA4
TP53,BCR
TP53,PIAS2
TP53,CSNK2A1
TP53,PPP2R5C
TP53,BAX
TP53,PPP2R1A
TP53,STK4
TP53,MAPK1
TP53,HSPA1B
TP53,CSNK1E
TP53,CSNK1D
TP53,CREB1
TP53,CDKN1A
TRAF2,MAPK9
TP53,TP63
TP53,TP73
MDM2,TP63
MDM2,TP73
TP53,MDM2
USP8,EGFR
EGFR,USP8
H2AFY,ATRX
H2AFY,ATRX
PARK2,SQSTM1
SQSTM1,PARK2
PARK2,SQSTM1
PARK2,SQSTM1
PARK2,UBE2L3
FAF1,CDT1
FAF1,VCP
PARK2,BIRC5
H3F3A,ATRX
H3F3A,ATRX
H3F3A,ATRX
FAF1,CTNNB1
MDM2,ARRB2
TP53,MAP3K1
MAP3K1,TP53
TP53,MAP3K1
TP53,MDM2
SIVA1,TP53
Grik2,PARK2
PARK2,GRIK2
Grik2,PARK2
PARK2,Grik2
RPL5,TP73
TP73,RPL5
MDM2,TP73
TP73,MDM2
TP73,RPL5
E2F1,RB1
PKM,FGFR1
COMMD1,PARK2
EGFR,ABL1
EGFR,ABL2
EGFR,ACTN4
EGFR,AKT1
EGFR,ANKS1A
EGFR,APBB2
EGFR,APP
EGFR,ARHGEF7
EGFR,ARRB1
EGFR,ARRB2
EGFR,BAIAP2
EGFR,BLK
EGFR,CALM1
EGFR,CAMLG
EGFR,CAV1
EGFR,CAV2
EGFR,CDC25C
EGFR,CDH1
EGFR,CDH5
EGFR,CDK1
EGFR,CISH
EGFR,CRK
EGFR,CRKL
EGFR,CSK
EGFR,CTNND1
EGFR,CTTN
EGFR,DOK1
EGFR,EPS8
EGFR,EZR
EGFR,FGR
EGFR,FRK
EGFR,GAB1
EGFR,GAPDH
EGFR,GRAP2
EGFR,GRB10
EGFR,GRB2
EGFR,HCK
EGFR,HDAC6
EGFR,HSP90AA1
EGFR,HSP90AB1
EGFR,HSPA1A
EGFR,HSPA4
EGFR,HSPA8
EGFR,IKBKG
EGFR,ITGB2
EGFR,ITK
EGFR,ITSN2
EGFR,JUP
EGFR,LAT
EGFR,LCP2
EGFR,LRP1
EGFR,LYN
EGFR,MAP3K3
EGFR,MAP4K1
EGFR,MAPK8
EGFR,MAPK8IP2
EGFR,MAPK9
EGFR,MAPT
EGFR,MUC1
EGFR,NCK1
EGFR,NCK2
EGFR,NR3C1
EGFR,NRG1
EGFR,NTRK2
EGFR,PAK1
EGFR,PDCD6IP
EGFR,PDGFRA
EGFR,PIK3C2B
EGFR,PIK3R2
EGFR,PIK3R3
EGFR,PIM1
EGFR,PLCG2
EGFR,PRKCA
EGFR,PRKCE
EGFR,PRKCZ
EGFR,PTK2
EGFR,PTPN1
EGFR,PTPN12
EGFR,PTPN18
EGFR,PTPN22
EGFR,RAF1
EGFR,RAPGEF1
EGFR,RET
EGFR,RGS4
EGFR,S100A4
EGFR,SFN
EGFR,SH2B1
EGFR,SH2D3A
EGFR,SH2D3C
EGFR,SH3GL2
EGFR,SH3GL3
EGFR,SHC1
EGFR,SHC4
EGFR,SLA
EGFR,SLA2
EGFR,SNCA
EGFR,SNX9
EGFR,SOCS3
EGFR,SOCS6
EGFR,SOS2
EGFR,SRC
EGFR,STAP2
EGFR,STAT1
EGFR,STAT2
EGFR,STAT3
EGFR,STAT5A
EGFR,STUB1
EGFR,TAB1
EGFR,TGFA
EGFR,TLR2
EGFR,TNFRSF1A
EGFR,TNS3
EGFR,TRAF2
EGFR,TUBA1A
EGFR,TXN
EGFR,VAV1
EGFR,WASF3
EGFR,WASL
EGFR,YWHAB
EGFR,YWHAQ
EGFR,YWHAZ
EGFR,ZAP70
EGFR,ZAP70
EGFR,YWHAZ
EGFR,TXN
EGFR,TUBA1A
EGFR,TRAF2
EGFR,TNS3
EGFR,STUB1
EGFR,STAT5A
EGFR,STAT3
EGFR,STAT1
EGFR,SOCS3
EGFR,SNCA
EGFR,SHC4
EGFR,S100A4
EGFR,SHC1
EGFR,SH3GL2
EGFR,SH2D3A
EGFR,RAPGEF1
EGFR,PTPN22
EGFR,PTPN12
EGFR,PTPN1
EGFR,PRKCA
EGFR,PLCG2
EGFR,PIK3C2B
EGFR,PDGFRA
EGFR,PDCD6IP
EGFR,NR3C1
EGFR,NCK2
EGFR,MUC1
EGFR,MAPK8
EGFR,LYN
EGFR,LCP2
EGFR,LAT
EGFR,IKBKG
EGFR,HSPA8
EGFR,HSPA1A
EGFR,HSP90AB1
EGFR,HDAC7
EGFR,HDAC6
EGFR,GRAP2
EGFR,FRK
EGFR,FGR
EGFR,EPS8
EGFR,DOK1
EGFR,CTTN
EGFR,CTNND1
EGFR,CSK
EGFR,CRKL
EGFR,CRK
EGFR,CISH
EGFR,CDC25C
EGFR,CAMLG
EGFR,BLK
EGFR,BAIAP2
EGFR,ARRB1
EGFR,APBB2
EGFR,ANKS1A
EGFR,AKT1
EGFR,ACTN4
FOS,MAPK9
GLI1,SUFU
GLI1,TP53
GLI1,ALLC
GLI1,ALYREF
GLI1,KIAA1211
GLI1,SMARCA4
GLI1,SMARCC2
GLI1,ZMYM3
GLI1,KIF7
GLI1,TRIM27
GLI1,FARSB
GLI1,RAD50
GLI1,TTC26
GLI1,IFT74
GLI1,IFT81
GLI1,MRE11A
GLI1,RPL21
GLI1,DES
GLI1,FXR1
GLI1,P4HA1
GLI1,SNX33
IRF3,FASN
IRF3,KIT
NFATC1,TP53
RBPJ,PSIP1
RBPJ,CDC27
TCF4,TP53
TEAD2,CDC27
TP53,SMARCA5
TP53,CUL9
TP53,CUL7
TP53,FBXW8
TP53,OBSL1
TP53,MDM2
TP53,MDM4
TP53,MOV10
TP53,NPAS3
TP53,PES1
TP53,POLRMT
TP53,RNASEL
TP53,RPA2
TP53,RPL29P11
TP53,SMG5
FOXA3,TP53
FOXA3,RB1
FOXB1,STAG2
FOXB1,TP53
USP7,GLI1
GLI1,USP7
GLI1,Sufu
TP53,MDM4
PARK2,UBC
PARK2,UBC
PARK2,PARK2
PARK2,RHOT1
PARK2,UBE2L3
PPARG,EGFR
EGFR,PPARG
EGFR,PPARG
PPARG,MDM2
MDM4,MDM2
MDM2,MDM4
ETS2,TP53
ANAPC4,CDC27
CDC26,CDC27
MTOR,PARK2
PARK2,RPTOR
RCC2,IQGAP1
FOXC1,TP53
FOXE1,PSIP1
FOXE1,CDC27
FOXG1,TP53
FOXI1,FASN
FOXI2,FASN
FOXJ3,TP53
FOXK1,TBL1XR1
FOXK1,RB1
FOXK1,TP53
TP53,MDM2
TP53,BCL2L1
TP53,ESR1
GAN,POTEF
GAN,SYNE1
GAN,DST
GAN,TRRAP
GAN,SPTA1
GAN,DMD
FOXK2,TBL1XR1
FOXK2,RB1
FOXK2,PSIP1
FOXK2,TP53
Tbrg1,MDM2
MDM2,Tbrg1
TP53,MDM2
EGFR,CBL
VDR,MDM2
MDM2,VDR
MDM2,AR
TP53,UBE4B
TP53,MDM2
UBE4B,TP53
MDM2,TP53
TP53,UBE4B
TP53,MDM2
PTEN,USP13
PTEN,USP13
HUWE1,CDKN2A
HUWE1,CDKN2A
ZBTB33,TP53
TP53,ZBTB33
MDM2,TP53
STUB1,TP53
MDM2,TP53
MDM2,UBE2D1
SKI,EPPK1
REV1,TP53
HSP90B1,TP53
TP53,HSP90B1
HSP90B1,MDM2
MDM2,HSP90B1
HSP90B1,TP53
HSP90B1,MDM2
TP53,HSP90B1
MDM2,HSP90B1
MDM2,TP53
TRIM28,CDKN2A
CDKN2A,TRIM28
CDKN2A,TRIM28
CDKN2A,TRIM28
MDM2,MDM4
MDM4,MDM2
MDM2,MDM4
MDM2,MDM2
CRY1,FASN
CRY2,FASN
KEAP1,EGFR
EGFR,KEAP1
EGFR,KEAP1
NEK2,CDC27
CDC20,CDC27
ANAPC4,CDC27
BUB1B,CDC27
FOXL1,FASN
USP13,PTEN
FOXL2,FIP1L1
UBC,PARK2
UBC,PARK2
UBC,PARK2
PTEN,OTUD3
PTEN,OTUD3
OTUD3,PTEN
OTUD3,PTEN
STUB1,PTEN
USP7,PTEN
USP13,PTEN
KIT,CBL
KIT,HSP90B1
HSP90B1,KIT
BRINP1,TP53
TP53,MDM2
Patz1,TP53
TP53,PATZ1
PATZ1,TP53
FBXO31,MDM2
MDM2,FBXO31
FBXO31,MDM2
FOXN1,TP53
FOXO1,RB1
FOXO3,TRRAP
FOXO3,CDC27
FOXO3,RB1
FOXP1,TP53
PARK2,PLK1
PARK2,CCNB1
PLK1,PARK2
CCNB1,PARK2
PARK2,AURKA
PARK2,AURKB
PARK2,NEK2
PARK2,UBE2L3
PARK2,CDC20
CDC20,PARK2
FZR1,PARK2
PARK2,FZR1
PARK2,UBE2L3
PLK1,PARK2
PARK2,CCNB1
PARK2,PTTG1
PARK2,NEK2
MDM2,AR
FOXP3,CDC27
FOXQ1,CDC27
FOXQ1,TP53
FOXR1,TRRAP
FOXR2,TRRAP
FOXS1,TP53
USP8,EGFR
TP53,MDM2
MDM2,TP53
SQSTM1,PARK2
USP7,TP53
TFIP11,MDM2
TFIP11,TP53
MDM2,TFIP11
TP53,TFIP11
TFIP11,MDM2
TFIP11,TP53
USP7,MDM2
PARK2,UBC
MDM2,SETD7
FAF1,IPO5
FAF1,IPO5
PPP1CA,MDM2
APPL1,PRKCZ
APPL1,PRKCZ
RARA,MDM2
MDM2,RARA
MDM2,RARA
MCM2,RPL5
MCM2,EPPK1
MCM2,FASN
MCM2,MTAP
MCM2,MKI67
MCM2,DMD
MCM2,IQGAP1
MCM2,SYNE1
MCM2,HMCN1
MCM2,MYH2
MCM2,MYH8
MCM5,KPRP
MCM2,DST
MCM2,TCHH
EGFR,CBL
TP53,SYVN1
TP53,ERN1
ESR1,BCOR
ESR1,FIP1L1
ESR1,BCOR
MDC1,H2AFX
WRAP53,MDC1
WRAP53,MDC1
MDC1,RNF8
MDC1,ATM
GLI1,PHB2
GLI1,EEF1D
GLI1,NPM1
GLI1,EIF3I
GLI1,ALYREF
GLI1,IKBKB
GLI1,CAPZB
GLI1,CAPZA2
GLI1,ARPC2
GLI1,CDK4
GLI1,CDK1
GLI1,BUB3
GLI1,GNB2L1
GLI1,PGAM5
GLI1,GNAI1
GLI1,GNA13
GLI1,PPP1CB
GLI1,GNB1
GLI1,IKBKB
IKBKB,GLI1
IKBKB,GLI1
GLI1,CHUK
IKBKB,GLI1
PINK1,PARK2
PARK2,UBC
PARK2,MFN2
IKZF1,IKZF3
IKZF3,IKZF1
Ksr1,MSH6
USP37,STAG2
USP37,CDC27
USP37,STAG2
RB1,PPP1R26
PPP1R26,RB1
PPP1R26,RB1
ERBB2,STUB1
ERBB2,CBL
BCAR1,ERBB2
MDM2,DDX24
Mdm2,TP53
MDM2,DDX24
MDM2,UBE2D2
MDM2,TP53
MDM2,UBE2L3
MDM2,UBE2D1
MDM2,UBE2D3
MDM2,UBE2E2
MDM2,UBE2E3
TP53,MDM2
MDM2,TP53
MDM2,DDX24
Mdm2,TP53
RB1,MDM2
RB1,MDM4
MDM2,RB1
MDM4,MDM2
MDM4,RB1
DNMT3L,DDIT3
DNMT3L,TP53
MDM2,TP53
UHRF1,TP53
UHRF1,TP53
TP53,UHRF1
UHRF1,TP53
TBK1,NLRP4
RAE1,FAF1
WDR24,FAF1
YTHDF1,FAF1
VAPA,FAF1
MDM2,ADRBK1
SNW1,MLH1
SNW1,ATRX
SNW1,FIP1L1
SNW1,FASN
SNW1,MSH6
SNW1,EPPK1
SNW1,IQGAP1
SNW1,CDC27
CDC5L,FASN
CDC5L,MSH6
CDC5L,EPPK1
CDC5L,IQGAP1
CDC5L,CDC27
CDC5L,STAG2
CDC5L,FAF1
CDC5L,NF1
CDC5L,RNF17
MDM2,TERT
TERT,MDM2
STUB1,TP53
DYRK1A,PARK2
PARK2,DYRK1A
DYRK1A,PARK2
PARK2,UBE2E2
TRAF2,PARK2
TP53,ELL3
NQO1,TP53
TP53,ELL3
TP53,MDM2
E6,TP53
TP53,UBE3A
UBE3A,TP53
UBE2I,TBL1XR1
CDC27,ANAPC2
CDC27,ANAPC5
CDC27,ANAPC7
CDC27,CDC20
CDC27,BUB1B
CDC27,UBE2S
CDC27,CDC16
CDC20,CDC27
CDC27,FZR1
TP53,NCL
TP53,USP7
TP53,MDM2
USP7,TP53
USP7,MDM2
EGFR,CBL
TP53,MDM4
TP53,MDM4
MDM2,MDM4
MDM4,CSNK1A1
MDM4,TP53
TP53,LAMTOR5
LAMTOR5,TP53
LAMTOR5,TP53
TP53,EP300
EID1,IQGAP1
SQSTM1,PRKCZ
PARK2,UBC
IRS2,PIK3CA
PARK2,PARK2
PARK2,RHOT1
CDC20,CDC27
CDC20,CDC27
CDC27,ANAPC4
CDC27,ANAPC7
CDC27,CDC20
CDC27,UBE2S
CDC27,BUB1B
CDC27,MAD2L1
CDC27,PPP2R5A
CDC27,PPP2CA
CDC27,ANAPC2
CDC27,ANAPC11
CDC27,ANAPC5
FN1,ITGA5
FN1,ITGB1
PARK2,PARK2
PARK2,VDAC1
VDAC1,PARK2
SENP3,TRRAP
RNF126,MSH6
FAF1,WDR24
FAF1,YTHDF1
FAF1,RAE1
FAF1,VAPA
FAF1,VCP
FAF1,NPLOC4
FAF1,RAE1
FAF1,UFD1L
FAF1,KCTD10
FAF1,VAPB
FAF1,YTHDF3
FAF1,VAPA
NSFL1C,MYH13
FAF1,WDR59
FAF1,YTHDF1
FAF1,MMAB
FAF1,NUP98
FAF1,MYCBP2
FAF1,USP11
NSFL1C,FAF1
UBXN10,CDK4
UBXN7,FAF1
FAF2,MSH6
UBXN1,FAF1
FAF1,ASPSCR1
FAF1,HSPA2
FAF1,MIOS
FAF1,UBXN6
FAF1,BTBD9
FAF1,KCTD13
FAF1,TNFAIP1
FAF1,UBXN7
UBXN2B,FAF1
UFD1L,FAF1
NPLOC4,FAF1
EGFR,HSPA5
EGFR,NELL1
EGFR,SUSD1
EGFR,CSTA
EGFR,HSPA9
EGFR,AHNAK
EGFR,HSPA1A
EGFR,ATP5A1
EGFR,HSPA8
EGFR,AP2A1
EGFR,AP2B1
EGFR,ANO5
EGFR,SLC3A2
EGFR,SFN
EGFR,ANXA1
EGFR,ARMC8
EGFR,BAIAP2
EGFR,COL17A1
EGFR,CTNNA1
EGFR,CTNNB1
EGFR,CTNND1
EGFR,CTNNA2
EGFR,CANX
EGFR,CDH1
EGFR,HNRNPH1
EGFR,HIST1H2AA
EGFR,HSPB1
EGFR,H1FX
EGFR,PHLDA1
EGFR,RPS15
EGFR,RBM25
EGFR,RPS26P11
EGFR,SPRR1A
EGFR,SERPINB4
EGFR,SERAC1
EGFR,SFPQ
EGFR,PTPRD
EGFR,PTPRF
EGFR,MET
EGFR,ITGB4
EGFR,ERBB2
EGFR,HLA-A
EGFR,XRN2
EGFR,SGPL1
EGFR,GSTT1
EGFR,DBR1
EGFR,AP1B1
EGFR,AP2A2
EGFR,AP2M1
EGFR,AP2S1
EGFR,SLC7A5
EGFR,VPS13A
EGFR,YTHDF1
EGFR,RPL17
EGFR,ATP2B4
EGFR,ATP2A2
EGFR,APOB
GRB2,EGFR
GRB2,ERRFI1
ERBB3,EGFR
ERBB3,PIK3R1
ERBB3,PIK3CA
ERRFI1,YWHAE
ERRFI1,YWHAZ
ERRFI1,ANXA2
ERRFI1,TUBB
ERRFI1,CCT3
SHC1,EGFR
SHC1,ERRFI1
ESRRB,EGFR
ESRRB,ERBB2
ESRRB,ERRFI1
ERBB3,POTEF
CDC37,CDK4
CDC37,EGFR
CDC37,ERBB2
EGFR,UBASH3B
EGFR,ERRFI1
EGFR,ERBB2
EGFR,ERBB3
EGFR,SHC1
EGFR,CDC37
EGFR,STAT3
EGFR,SRC
FBXW7,FGA
FBXW7,GRM3
FBXW7,COL1A2
OSMR,EGFR
PCGF1,BCOR
PCGF1,MDC1
PCGF1,BCOR
PCGF1,BCOR
DPPA4,C9orf131
DPPA4,MDC1
DPPA4,PCLO
BCOR,ACACB
BCOR,AK2
BCOR,ANGEL2
BCOR,ATG101
BCOR,BCOR
BCOR,C10orf131
BCOR,CCDC101
BCOR,CDK2AP1
BCOR,CS
BCOR,DDB1
BCOR,DYNC1LI1
BCOR,EIF3D
BCOR,ERCC8
BCOR,IBTK
BCOR,IDH3G
BCOR,ING4
BCOR,KDELR2
BCOR,KDM2B
BCOR,LETMD1
BCOR,NAA50
BCOR,NAP1L4
BCOR,NCAPD2
BCOR,NSF
BCOR,OTX2
BCOR,PCGF1
BCOR,PCGF2
BCOR,PCMT1
BCOR,PQBP1
BCOR,PRCP
BCOR,RING1
BCOR,RNF2
BCOR,RYBP
BCOR,SALL1
BCOR,SATB2
BCOR,SCAF11
BCOR,SENP2
BCOR,SKP1
BCOR,SMC4
BCOR,TCEB1
BCOR,TCP1
BCOR,TIA1
BCOR,TKT
BCOR,TMTC1
BCOR,TRPM1
BCOR,USP42
BCOR,USP7
BCOR,YAF2
NANOG,CENPF
NANOG,SOX2
POU5F1,MSH6
POU5F1,PSIP1
POU5F1,SOX2
EP300,TP53
TP53,TGM2
TP53,SQSTM1
TP53,MDM2
TGM2,TP53
SQSTM1,TP53
MDM2,TP53
BARD1,TP53
TP53,BARD1
TP53,TP53BP1
BARD1,TP53
PARK2,RAB7A
PARK2,UBE2L3
PINK1,PARK2
PARK2,PARK2
PARK2,RHOT1
PARK2,UBC
PARK2,UBE2L3
PARK2,UBC
PARK2,PARK2
KMT2C,HIST3H3
KMT2C,WDR5
KMT2C,RBBP5
KMT2C,ASH2L
KMT2C,DPY30
NAT10,TP53
NAT10,TP53
NAT10,MDM2
TP53,NAT10
MDM2,NAT10
TP53,NAT10
MDM2,NAT10
NAT10,TP53
NAT10,MDM2
NAT10,MDM2
MDM2,TP53
DAXX,ATRX
DAXX,ATRX
MDM2,MDM4
MDM4,MDM2
MDM2,MDM4
TP53,MDM4
TP53,CSNK1A1
TP53,MDM4
BRAF,FBXW7
MDM2,CCND1
MDM2,TP53
TP53,CCND1
TP53,MDM2
CDKN2A,PML
PML,CDKN2A
PML,CDKN2A
UBE2I,CDKN2A
CDKN2A,UBE2I
CDKN2A,UBE2I
DCUN1D1,CUL1
DCUN1D1,CUL2
DCUN1D1,CUL3
DCUN1D1,CUL4A
DCUN1D1,CUL4B
DCUN1D1,CUL5
DCUN1D1,CAND1
DCUN1D1,RBX1
DCUN1D1,DDB1
DCUN1D1,CUL1
DCUN1D1,CUL2
DCUN1D1,CUL3
DCUN1D1,CUL5
DCUN1D1,CAND1
DCUN1D1,RBX1
DCUN1D1,CUL4A
DCUN1D1,CUL3
DCUN1D1,CAND1
DCUN1D1,CUL3
DCUN1D1,UBE2M
RLIM,MDM2
RLIM,MDM2
MDM2,RLIM
RLIM,MDM2
KDR,SH2D2A
KDR,SRC
SH2D2A,KDR
TP53,NQO1
TP53,MDM2
TP53,NUMB
MDM2,TP53
MDM2,NUMB
NUMB,TP53
NUMB,MDM2
MDM2,TP53
MDM2,UBE2D1
IER3,MDM2
IER3,MDM2
MDM2,IER3
MDM2,IER3
MDM2,FHL2
MDM2,FHL2
CCND1,CDK4
CDK4,RB1
C10orf90,TP53
USP24,TP53
CCND1,CDK4
TP53,MDM2
RPL23A,MDM2
GMPS,TP53
TP53,USP7
TP53,GMPS
TP53,MDM2
USP7,MDM2
USP7,TP53
PARK2,CCNE1
PARK2,CCNE1
PARK2,UBE2L3
CDC16,CDC27
CDC20,CDC27
CDC27,FZR1
PIK3R1,IRS2
FBXL17,GLI1
SUFU,GLI1
PBK,PTEN
PBK,PTEN
CDC27,PCNA
MDM2,SUZ12
MDM2,EZH2
EZH2,MDM2
SUZ12,MDM2
MDM2,EED
RRM1,MDM2
MDM2,RRM1
MLLT3,H3F3A
H3F3A,MLLT3
MLLT3,H3F3A
MLLT3,DOT1L
MLLT3,CDK9
MLLT3,ELL2
MLLT3,AFF4
U2AF2,IQGAP1
EGFR,HBA2
ITGB3,PLA2G4A
PLA2G4A,ITGB3
ITGB3,VIM
ITGB3,PLA2G4A
ITGB3,PRKCB
EGFR,ERBB2
ERBB2,EGFR
RXRA,PIK3R1
PIK3R1,RXRA
CDK4,RB1
SERPINB5,COL1A2
COL1A2,SERPINB5
MAPK3,ITGB3
ATRX,ZNF274
ATRX,TRIM28
ATRX,SETDB1
ATRX,DAXX
EZR,ERBB2
EZR,ERBB2
RDX,ERBB2
APEX1,PARK2
APEX1,PARK2
NR1I2,TP53
NR1I2,TP53
MAGEA2,TP53
DYNC1I1,DCDC5
DYNC1I1,NDEL1
DYNC1I1,DCDC5
DCDC5,DYNC1I1
SIRT1,TP53
TP53,SIRT1
EGFR,ACTB
EGFR,MYH9
MAD2L1,CDC27
TP53,CREBBP
SNAI2,MDM2
